Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1900.05.11 17:23,Japan,38.7,141.1,5,7.0 MJ,,,,,,,0,
1900.07.12 06:25,Turkey,40.3,43.1,,5.9 UK,,,,140,,,1,
1900.10.29 09:11,Venezuela,11,-66,0,7.7 MW,,,,,,,2,
1901.02.15 00:00,China,26,100.1,0,6.5 MS,,,,,,,3,
1901.03.31 07:11,Bulgaria,43.4,28.7,,6.4 UK,,,,4,,,8,
1901.08.09 09:23,Japan,40.5,142.5,35,7.2 MW,T,,,,,,0,
1901.11.15 20:15,New Zealand (see 1901 Cheviot earthquake),-43,173,0,6.8 MS,,,,1,,,4,
1902.01.30 14:01,Japan,40.5,141.3,35,6.9 MS,,,,1,,,0,
1902.02.13 09:39,Azerbaijan,40.7,48.6,15,6.9 UK,,,,86,,,1,
1902.03.09 07:46,Turkey,40.7,33.6,,5.5 UK,,,,4,,,1,
1902.04.19 02:23,Guatemala (see 1902 Guatemala earthquake),14,-91,0,7.5 MW,,,,2000,2000,,5,
1902.07.03 15:36,China,43.2,129.6,20,6.7 MS,,,,,,,0,
1902.08.22 03:00,China,40,77,0,7.7 MW,,,,5650,,,6,
1902.09.19,Australia,-35,138,2,6.0 ML,,,,2,,,7,
1902.12.16 05:07,Uzbekistan,40.8,72.3,9,6.4 UK,,,,4725,,,6,
1903.03.29 22:30,Judea and Samaria,32.2,35.3,,5.7 UK,,,,20,,,1,
1903.04.28,Turkey (see 1903 Malazgirt earthquake),39.14,42.65,,7.0 MS,,,,,,3500,1,
1903.05.28 03:58,Turkey,40.9,42.7,,5.8 UK,,,,1000,,,1,
1903.08.11 04:32,Greece,36.36,22.97,80,8.3 UK,,,,2,,,8,
1903.09.25 01:20,Iran,35.2,58.2,,6.5 UK,,,,200,,,1,
1904.4.24 6:39,Taiwan,23.5,120.5,,6.0 UK,,,,3,,,0,
1904.8.11 5:56,Greece,37.75,27,10,6.2 UK,,,,4,,,8,
1904.8.30 11:42,China,30,101,0,6.8 MS,,,,565,,,3,
1904.11.5 20:25,Taiwan (see 1904 Douliu earthquake),23.5,120.3,,6.3 UK,,,,145,,,0,
1905.4.4 0:50,India,33,76,0,7.8 MW,,,,20000,20000,,6,
1905.6.1 4:42,Albania,42.1,19.6,20,6.6 UK,,,,120,,,8,
1905.6.2 5:39,Japan,34.1,132.5,55,7.0 mb,,,,11,,,0,
1905.9.8 1:43,Italy (see 1905 Calabria earthquake),39,16,0,6.8 MS,T,,,557,2500,,8,
1905.11.8 22:06,Greece,40,24,0,6.8 MS,,,,,,,8,
1906.1.31 15:36,Ecuador (see 1906 Ecuador-Colombia earthquake),1,-81.5,0,8.8 UK,T,,,1000,400,,2,
1906.3.16 22:42,Taiwan (see 1906 Meishan earthquake),23.6,120.4,5,6.8 MS,,,,1258,,,0,
1906.4.13 19:18,Taiwan,23.6,120.4,5,7.1 MJ,,,,15,,,0,
1906.4.18 13:12,United States (see 1906 San Francisco earthquake),38,-123,0,7.8 UK,F,,,700,2000,,5,
1906.8.17 0:40,Chile (see 1906 Valpara__so earthquake),-33,-72,0,8.2 UK,T,,,3760,20000,,2,
1906.12.22 18:21,China,43.5,85,0,7.2 MW,,,,285,,,6,
1907.1.4 5:19,Indonesia,2,94.5,50,7.5 MW,T,,,400,,,9,
1907.1.14 21:36,Jamaica (see 1907 Kingston earthquake),18.2,-76.7,,6.5 UK,T,,,1000,,,5,
1907.4.15 6:08,Mexico,17,-100,0,7.9 MW,T,,,28,,,5,
1907.4.18 20:59,Philippines,14,123,0,7.1 MW,,,,2,,,0,
1907.10.21 4:23,Tajikistan (see 1907 Qaratog earthquake),38,69,0,7.2 MW,,,,15000,12000,,6,
1908.1.11 3:35,Taiwan,23,121.1,5,6.8 MS,,,,2,,,0,
1908.12.28 4:20,Italy (see 1908 Messina earthquake),38,15.5,0,7.2 MS,T,,,82000,75000,,8,
1909.1.19 4:56,Turkey,38.6,26.9,,5.8 UK,,,,8,,,8,
1909.1.23,Iran (see 1909 Silakhor earthquake),33,50,,7.3 UK,,,,,,8000+,1,
